ticker,data_ticker,loaded,first,last,rows
ABBV,ABBV,True,2013-01-04,2017-11-10,1224.0
ABT,ABT,True,1983-04-06,2017-11-10,8726.0
ADM,ADM,True,1983-04-06,2017-11-10,8726.0
ADP,ADP,True,1983-04-06,2017-11-10,8724.0
AFL,AFL,True,1984-07-19,2017-11-10,8398.0
APD,APD,True,1983-04-06,2017-11-10,8725.0
BCR,BCR,True,1983-04-06,2017-11-10,8724.0
BDX,BDX,True,1983-04-06,2017-11-10,8725.0
BEN,BEN,True,1984-09-07,2017-11-10,8362.0
BF-B,BF-B,True,2010-08-23,2017-11-10,1819.0
CAH,CAH,True,1988-01-04,2017-11-10,7519.0
CB,CB,True,1993-03-26,2017-11-10,6201.0
CINF,CINF,True,1990-03-26,2017-11-10,6962.0
CL,CL,True,1977-01-03,2017-11-10,10305.0
CLX,CLX,True,1983-03-21,2017-11-10,8736.0
CTAS,CTAS,True,1990-03-26,2017-11-10,6962.0
CVX,CVX,True,1970-01-02,2017-11-10,12073.0
DOV,DOV,True,1985-07-01,2017-11-10,8160.0
ECL,ECL,True,1988-01-05,2017-11-10,7524.0
ED,ED,True,1970-01-02,2017-11-10,12075.0
EMR,EMR,True,1982-01-04,2017-11-10,9044.0
FDO,FDO,False,,,
GPC,GPC,True,1983-04-06,2017-11-10,8726.0
GWW,GWW,True,1984-12-17,2017-11-10,8295.0
HCP,HCP,True,2005-02-25,2017-11-10,3201.0
HRL,HRL,True,2005-02-25,2017-11-10,3201.0
ITW,ITW,True,1987-11-05,2017-11-10,7566.0
JNJ,JNJ,True,1970-01-02,2017-11-10,12074.0
KMB,KMB,True,1984-12-17,2017-11-10,8295.0
KO,KO,True,1970-01-02,2017-11-10,12075.0
LEG,LEG,True,1987-11-05,2017-11-10,7563.0
LOW,LOW,True,1985-07-01,2017-11-10,8158.0
MCD,MCD,True,1970-01-02,2017-11-10,12075.0
MDT,MDT,True,1981-12-31,2017-11-10,9044.0
MHFI,SPGI,True,1985-07-01,2017-11-10,8160.0
MKC,MKC,True,1999-05-25,2017-11-10,4646.0
MMM,MMM,True,1970-01-02,2017-11-10,12075.0
NUE,NUE,True,1983-09-01,2017-11-10,8622.0
PEP,PEP,True,1977-01-03,2017-11-10,10307.0
PG,PG,True,1970-01-02,2017-11-10,12075.0
PNR,PNR,True,2005-02-25,2017-11-10,3201.0
PPG,PPG,True,1983-04-06,2017-11-10,8726.0
SHW,SHW,True,1985-07-01,2017-11-10,8159.0
SIAL,SIAL,False,,,
SWK,SWK,True,1985-07-01,2017-11-10,8160.0
SYY,SYY,True,1987-07-23,2017-11-10,7638.0
T,T,True,1984-07-19,2017-11-10,8401.0
TGT,TGT,True,1983-04-06,2017-11-10,8726.0
TROW,TROW,True,1989-09-13,2017-11-10,7091.0
VFC,VFC,True,1985-07-01,2017-11-10,8157.0
WBA,WBA,True,1985-07-01,2017-11-10,8157.0
WMT,WMT,True,1972-03-20,2017-11-10,11443.0
XOM,XOM,True,1970-01-02,2017-11-10,12074.0
