ticker,loaded,first,last,rows
ABBV,True,2020-01-02,2023-02-14,786.0
ABT,True,2020-01-02,2023-02-14,786.0
ADM,True,2020-01-02,2023-02-14,786.0
ADP,True,2020-01-02,2023-02-14,786.0
AFL,True,2020-01-02,2023-02-14,786.0
ALB,True,2020-01-02,2023-02-14,786.0
AMCR,True,2020-01-02,2023-02-14,786.0
AOS,True,2020-01-02,2023-02-14,786.0
APD,True,2020-01-02,2023-02-14,786.0
ATO,True,2020-01-02,2023-02-14,786.0
BDX,True,2020-01-02,2023-02-14,786.0
BEN,True,2020-01-02,2023-02-14,786.0
BF-B,True,2020-01-02,2023-02-14,786.0
CAH,True,2020-01-02,2023-02-14,786.0
CAT,True,2020-01-02,2023-02-14,786.0
CB,True,2020-01-02,2023-02-14,786.0
CINF,True,2020-01-02,2023-02-14,786.0
CL,True,2020-01-02,2023-02-14,786.0
CLX,True,2020-01-02,2023-02-14,786.0
CTAS,True,2020-01-02,2023-02-14,786.0
CVX,True,2020-01-02,2023-02-14,786.0
DOV,True,2020-01-02,2023-02-14,786.0
ECL,True,2020-01-02,2023-02-14,786.0
ED,True,2020-01-02,2023-02-14,786.0
EMR,True,2020-01-02,2023-02-14,786.0
ESS,True,2020-01-02,2023-02-14,786.0
EXPD,True,2020-01-02,2023-02-14,786.0
FRT,True,2020-01-02,2023-02-14,786.0
GD,True,2020-01-02,2023-02-14,786.0
GPC,True,2020-01-02,2023-02-14,786.0
GWW,True,2020-01-02,2023-02-14,786.0
HRL,True,2020-01-02,2023-02-14,786.0
IBM,True,2020-01-02,2023-02-14,786.0
ITW,True,2020-01-02,2023-02-14,786.0
JNJ,True,2020-01-02,2023-02-14,786.0
KMB,True,2020-01-02,2023-02-14,786.0
KO,True,2020-01-02,2023-02-14,786.0
LIN,True,2020-01-02,2023-02-14,786.0
LOW,True,2020-01-02,2023-02-14,786.0
MCD,True,2020-01-02,2023-02-14,786.0
MDT,True,2020-01-02,2023-02-14,786.0
MKC,True,2020-01-02,2023-02-14,786.0
MMM,True,2020-01-02,2023-02-14,786.0
NEE,True,2020-01-02,2023-02-14,786.0
NUE,True,2020-01-02,2023-02-14,786.0
O,True,2020-01-02,2023-02-14,786.0
PBCT,False,,,
PEP,True,2020-01-02,2023-02-14,786.0
PG,True,2020-01-02,2023-02-14,786.0
PNR,True,2020-01-02,2023-02-14,786.0
PPG,True,2020-01-02,2023-02-14,786.0
ROP,True,2020-01-02,2023-02-14,786.0
SHW,True,2020-01-02,2023-02-14,786.0
SPGI,True,2020-01-02,2023-02-14,786.0
SWK,True,2020-01-02,2023-02-14,786.0
SYY,True,2020-01-02,2023-02-14,786.0
T,True,2020-01-02,2023-02-14,786.0
TGT,True,2020-01-02,2023-02-14,786.0
TROW,True,2020-01-02,2023-02-14,786.0
VFC,True,2020-01-02,2023-02-14,786.0
WBA,False,,,
WMT,True,2020-01-02,2023-02-14,786.0
WST,True,2020-01-02,2023-02-14,786.0
XOM,True,2020-01-02,2023-02-14,786.0
