window,ticker,loaded,source,first,last,rows
BULL_2013_2014,MMM,True,legacy,1970-01-02,2017-11-10,12075.0
BULL_2013_2014,ABT,True,legacy,1983-04-06,2017-11-10,8726.0
BULL_2013_2014,ABBV,True,legacy,2013-01-04,2017-11-10,1224.0
BULL_2013_2014,AFL,True,legacy,1984-07-19,2017-11-10,8398.0
BULL_2013_2014,APD,True,legacy,1983-04-06,2017-11-10,8725.0
BULL_2013_2014,ADM,True,legacy,1983-04-06,2017-11-10,8726.0
BULL_2013_2014,T,True,legacy,1984-07-19,2017-11-10,8401.0
BULL_2013_2014,ADP,True,legacy,1983-04-06,2017-11-10,8724.0
BULL_2013_2014,BDX,True,legacy,1983-04-06,2017-11-10,8725.0
BULL_2013_2014,BMS,True,legacy,1984-09-07,2017-11-10,8346.0
BULL_2013_2014,BF-B,True,legacy,2010-08-23,2017-11-10,1819.0
BULL_2013_2014,BCR,True,legacy,1983-04-06,2017-11-10,8724.0
BULL_2013_2014,CAH,True,legacy,1988-01-04,2017-11-10,7519.0
BULL_2013_2014,CVX,True,legacy,1970-01-02,2017-11-10,12073.0
BULL_2013_2014,CB,True,legacy,1993-03-26,2017-11-10,6201.0
BULL_2013_2014,CINF,True,legacy,1990-03-26,2017-11-10,6962.0
BULL_2013_2014,CTAS,True,legacy,1990-03-26,2017-11-10,6962.0
BULL_2013_2014,CLX,True,legacy,1983-03-21,2017-11-10,8736.0
BULL_2013_2014,KO,True,legacy,1970-01-02,2017-11-10,12075.0
BULL_2013_2014,CL,True,legacy,1977-01-03,2017-11-10,10305.0
BULL_2013_2014,ED,True,legacy,1970-01-02,2017-11-10,12075.0
BULL_2013_2014,DOV,True,legacy,1985-07-01,2017-11-10,8160.0
BULL_2013_2014,ECL,True,legacy,1988-01-05,2017-11-10,7524.0
BULL_2013_2014,EMR,True,legacy,1982-01-04,2017-11-10,9044.0
BULL_2013_2014,XOM,True,legacy,1970-01-02,2017-11-10,12074.0
BULL_2013_2014,FDO,False,missing,,,
BULL_2013_2014,BEN,True,legacy,1984-09-07,2017-11-10,8362.0
BULL_2013_2014,GPC,True,legacy,1983-04-06,2017-11-10,8726.0
BULL_2013_2014,HCP,True,legacy,2005-02-25,2017-11-10,3201.0
BULL_2013_2014,HRL,True,legacy,2005-02-25,2017-11-10,3201.0
BULL_2013_2014,ITW,True,legacy,1987-11-05,2017-11-10,7566.0
BULL_2013_2014,JNJ,True,legacy,1970-01-02,2017-11-10,12074.0
BULL_2013_2014,KMB,True,legacy,1984-12-17,2017-11-10,8295.0
BULL_2013_2014,LEG,True,legacy,1987-11-05,2017-11-10,7563.0
BULL_2013_2014,LOW,True,legacy,1985-07-01,2017-11-10,8158.0
BULL_2013_2014,MKC,True,legacy,1999-05-25,2017-11-10,4646.0
BULL_2013_2014,MCD,True,legacy,1970-01-02,2017-11-10,12075.0
BULL_2013_2014,MHFI,True,legacy,1985-07-01,2017-11-10,8160.0
BULL_2013_2014,MDT,True,legacy,1981-12-31,2017-11-10,9044.0
BULL_2013_2014,NUE,True,legacy,1983-09-01,2017-11-10,8622.0
BULL_2013_2014,PNR,True,legacy,2005-02-25,2017-11-10,3201.0
BULL_2013_2014,PEP,True,legacy,1977-01-03,2017-11-10,10307.0
BULL_2013_2014,PPG,True,legacy,1983-04-06,2017-11-10,8726.0
BULL_2013_2014,PG,True,legacy,1970-01-02,2017-11-10,12075.0
BULL_2013_2014,SHW,True,legacy,1985-07-01,2017-11-10,8159.0
BULL_2013_2014,SIAL,False,missing,,,
BULL_2013_2014,SWK,True,legacy,1985-07-01,2017-11-10,8160.0
BULL_2013_2014,SYY,True,legacy,1987-07-23,2017-11-10,7638.0
BULL_2013_2014,TROW,True,legacy,1989-09-13,2017-11-10,7091.0
BULL_2013_2014,TGT,True,legacy,1983-04-06,2017-11-10,8726.0
BULL_2013_2014,VFC,True,legacy,1985-07-01,2017-11-10,8157.0
BULL_2013_2014,GWW,True,legacy,1984-12-17,2017-11-10,8295.0
BULL_2013_2014,WAG,True,legacy,1985-07-01,2017-11-10,8157.0
BULL_2013_2014,WMT,True,legacy,1972-03-20,2017-11-10,11443.0
