ticker,data_ticker,loaded,first,last,rows
ABBV,ABBV,True,2018-01-02,2020-11-13,724.0
ABT,ABT,True,2018-01-02,2020-11-13,724.0
ADM,ADM,True,2018-01-02,2020-11-13,724.0
ADP,ADP,True,2018-01-02,2020-11-13,724.0
AFL,AFL,True,2018-01-02,2020-11-13,724.0
ALB,ALB,True,2018-01-02,2020-11-13,724.0
AMCR,AMCR,True,2018-01-02,2020-11-13,461.0
AOS,AOS,True,2018-01-02,2020-11-13,724.0
APD,APD,True,2018-01-02,2020-11-13,724.0
ATO,ATO,True,2018-01-02,2020-11-13,724.0
BDX,BDX,True,2018-01-02,2020-11-13,724.0
BEN,BEN,True,2018-01-02,2020-11-13,724.0
BF-B,BF-B,True,2018-01-02,2020-11-13,724.0
CAH,CAH,True,2018-01-02,2020-11-13,724.0
CAT,CAT,True,2018-01-02,2020-11-13,724.0
CB,CB,True,2018-01-02,2020-11-13,724.0
CINF,CINF,True,2018-01-02,2020-11-13,724.0
CL,CL,True,2018-01-02,2020-11-13,724.0
CLX,CLX,True,2018-01-02,2020-11-13,724.0
CTAS,CTAS,True,2018-01-02,2020-11-13,724.0
CVX,CVX,True,2018-01-02,2020-11-13,724.0
DOV,DOV,True,2018-01-02,2020-11-13,724.0
ECL,ECL,True,2018-01-02,2020-11-13,724.0
ED,ED,True,2018-01-02,2020-11-13,724.0
EMR,EMR,True,2018-01-02,2020-11-13,724.0
ESS,ESS,True,2018-01-02,2020-11-13,724.0
EXPD,EXPD,True,2018-01-02,2020-11-13,724.0
FRT,FRT,True,2018-01-02,2020-11-13,724.0
GD,GD,True,2018-01-02,2020-11-13,724.0
GPC,GPC,True,2018-01-02,2020-11-13,724.0
GWW,GWW,True,2018-01-02,2020-11-13,724.0
HRL,HRL,True,2018-01-02,2020-11-13,724.0
ITW,ITW,True,2018-01-02,2020-11-13,724.0
JNJ,JNJ,True,2018-01-02,2020-11-13,724.0
KMB,KMB,True,2018-01-02,2020-11-13,724.0
KO,KO,True,2018-01-02,2020-11-13,724.0
LEG,LEG,True,2018-01-02,2020-11-13,724.0
LIN,LIN,True,2018-01-02,2020-11-13,724.0
LOW,LOW,True,2018-01-02,2020-11-13,724.0
MCD,MCD,True,2018-01-02,2020-11-13,724.0
MDT,MDT,True,2018-01-02,2020-11-13,724.0
MKC,MKC,True,2018-01-02,2020-11-13,724.0
MMM,MMM,True,2018-01-02,2020-11-13,724.0
NUE,NUE,True,2018-01-02,2020-11-13,724.0
O,O,True,2018-01-02,2020-11-13,724.0
PBCT,PBCT,False,,,
PEP,PEP,True,2018-01-02,2020-11-13,724.0
PG,PG,True,2018-01-02,2020-11-13,724.0
PNR,PNR,True,2018-01-02,2020-11-13,724.0
PPG,PPG,True,2018-01-02,2020-11-13,724.0
ROP,ROP,True,2018-01-02,2020-11-13,724.0
ROST,ROST,True,2018-01-02,2020-11-13,724.0
SHW,SHW,True,2018-01-02,2020-11-13,724.0
SPGI,SPGI,True,2018-01-02,2020-11-13,724.0
SWK,SWK,True,2018-01-02,2020-11-13,724.0
SYY,SYY,True,2018-01-02,2020-11-13,724.0
T,T,True,2018-01-02,2020-11-13,724.0
TGT,TGT,True,2018-01-02,2020-11-13,724.0
TROW,TROW,True,2018-01-02,2020-11-13,724.0
UTX,RTX,True,2018-01-02,2020-11-13,724.0
VFC,VFC,True,2018-01-02,2020-11-13,724.0
WBA,WBA,False,,,
WMT,WMT,True,2018-01-02,2020-11-13,724.0
XOM,XOM,True,2018-01-02,2020-11-13,724.0
