iso_year,iso_week,signals,stocks,avg_ret_20d_pct,stop_rate_pct
2009,45,13,13,3.359589785219934,7.6923076923076925
2009,41,12,12,1.4801520475808703,33.33333333333333
2009,26,10,10,8.736451836270655,30.0
2007,32,8,8,-1.6133813937822816,62.5
2009,46,8,8,0.4715032614281368,12.5
2009,52,8,8,5.39698319716384,25.0
2009,34,5,5,1.935576789863531,0.0
2007,33,4,4,3.8039763301013165,25.0
2009,37,4,4,5.598802979446779,25.0
2007,31,3,3,-2.8884078186459434,33.33333333333333
2007,36,3,3,4.343237717004045,33.33333333333333
2009,27,3,3,6.034790440229059,100.0
2009,33,3,3,1.09772881899759,33.33333333333333
2009,49,3,3,-0.65410984574195,100.0
2007,38,2,2,0.9780052257592264,0.0
2007,43,2,2,-8.353438127172193,100.0
2007,48,2,2,-3.215112588576474,100.0
2009,28,2,2,12.825627219991375,0.0
2009,40,2,2,-4.097466872369459,50.0
2009,44,2,2,-5.538886618226979,50.0
2009,50,2,2,1.105988291137494,0.0
2009,51,2,2,4.258088399126669,100.0
2007,39,1,1,-0.971217363950927,100.0
2007,44,1,1,-1.9252601702932857,100.0
2007,45,1,1,3.6211444540207305,100.0
2007,47,1,1,3.5848623194647766,0.0
2007,49,1,1,7.907498752979003,0.0
2009,29,1,1,20.015712290502808,0.0
2009,38,1,1,5.681653372008699,0.0
2009,39,1,1,3.2212598604196563,0.0
2009,42,1,1,-10.769525058752803,100.0
