ticker,data_ticker,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
GD,GD,V0.1,2020-01-03,2020-01-06,155.66372581067043,GREEN,293.8829345703125,283.9170397949219,268.1670913696289,2019-12-27,150.32206344320434,3.553478607938554,False,,2.9245587611266943,-3.179716540330413,2.9245587611266943,-3.179716540330413,-0.23130671430513505,1.5286955240621847,1.7169899244275255,-0.554080310808347,True,10.0,False,,False,
HRL,HRL,STOCH_ONLY_CONTROL,2020-01-07,2020-01-08,36.222251812927624,GREEN,294.1746520996094,284.8113604736328,268.5792486572266,2020-01-06,35.91300039800501,0.8611127210072622,False,,8.43128433426148,-0.4718129332654697,8.43128433426148,-0.4718129332654697,2.3106657784311313,6.127569173933356,8.137659067732251,5.901734599687303,True,2.0,True,3.0,True,7.0
ABT,ABT,STOCH_ONLY_CONTROL,2020-01-08,2020-01-09,76.20713082101453,GREEN,295.7425537109375,285.25482788085935,268.80434616088866,2020-01-07,75.5360128441674,0.8884741881090008,True,1.0,7.581296064368237,-2.240082828933243,0.7995370862855511,-1.3093849879828312,2.7287945717137774,5.195791755234125,1.4022150636533892,2.251701690155694,False,,False,,False,
CAH,CAH,STOCH_ONLY_CONTROL,2020-01-08,2020-01-09,42.59546288667798,GREEN,295.7425537109375,285.25482788085935,268.80434616088866,2019-12-17,41.5178531109671,2.5955334752755244,False,,20.478086129959294,-1.0557820437035126,20.478086129959294,-1.0557820437035126,8.406365626670077,7.211154569268308,2.011929601242346,16.015939013478487,True,3.0,True,3.0,True,4.0
CAH,CAH,V0.1,2020-01-08,2020-01-09,42.59546288667798,GREEN,295.7425537109375,285.25482788085935,268.80434616088866,2019-12-17,41.5178531109671,2.5955334752755244,False,,20.478086129959294,-1.0557820437035126,20.478086129959294,-1.0557820437035126,8.406365626670077,7.211154569268308,2.011929601242346,16.015939013478487,True,3.0,True,3.0,True,4.0
APD,APD,STOCH_ONLY_CONTROL,2020-01-09,2020-01-10,200.21758467575597,GREEN,297.7478332519531,285.7075604248047,269.03012565612795,2020-01-06,192.02959918045954,4.263918442907233,False,,7.462713690198264,-1.3859275053304865,7.462713690198264,-1.3859275053304865,1.066103731151813,-0.43920898237274075,3.628996957213393,7.339049144643606,True,9.0,True,9.0,True,16.0
APD,APD,V0.1,2020-01-09,2020-01-10,200.21758467575597,GREEN,297.7478332519531,285.7075604248047,269.03012565612795,2020-01-06,192.02959918045954,4.263918442907233,False,,7.462713690198264,-1.3859275053304865,7.462713690198264,-1.3859275053304865,1.066103731151813,-0.43920898237274075,3.628996957213393,7.339049144643606,True,9.0,True,9.0,True,16.0
LIN,LIN,STOCH_ONLY_CONTROL,2020-01-09,2020-01-10,192.13043532155132,GREEN,297.7478332519531,285.7075604248047,269.03012565612795,2020-01-06,186.15889618794532,3.2077645795542065,True,14.0,3.1697862392740417,-3.686992837186953,1.7462305949656365,-3.686992837186953,1.5943884778319761,-2.780664064493832,-0.6168641916227569,2.2302480101624056,False,,False,,False,
LIN,LIN,V0.1,2020-01-09,2020-01-10,192.13043532155132,GREEN,297.7478332519531,285.7075604248047,269.03012565612795,2020-01-06,186.15889618794532,3.2077645795542065,True,14.0,3.1697862392740417,-3.686992837186953,1.7462305949656365,-3.686992837186953,1.5943884778319761,-2.780664064493832,-0.6168641916227569,2.2302480101624056,False,,False,,False,
SHW,SHW,STOCH_ONLY_CONTROL,2020-01-09,2020-01-10,178.60044783643363,GREEN,297.7478332519531,285.7075604248047,269.03012565612795,2020-01-06,175.93960470298916,1.5123616640700943,True,14.0,5.652886971930671,-2.9321350488609954,5.652886971930671,-2.9321350488609954,4.687845798133372,2.891602057371623,1.2432639682753877,0.7801019310705204,True,3.0,True,3.0,True,6.0
SHW,SHW,V0.1,2020-01-09,2020-01-10,178.60044783643363,GREEN,297.7478332519531,285.7075604248047,269.03012565612795,2020-01-06,175.93960470298916,1.5123616640700943,True,14.0,5.652886971930671,-2.9321350488609954,5.652886971930671,-2.9321350488609954,4.687845798133372,2.891602057371623,1.2432639682753877,0.7801019310705204,True,3.0,True,3.0,True,6.0
ADM,ADM,STOCH_ONLY_CONTROL,2020-01-10,2020-01-13,36.539763540734036,GREEN,296.89093017578125,286.1447882080078,269.2582245635986,2020-01-08,35.701770471191566,2.34720311761194,False,,5.608527712076983,-1.521375182331397,5.608527712076983,-1.521375182331397,2.4523027382612916,-0.27250909560694314,3.0199696953479904,4.722970566608087,True,3.0,True,3.0,True,17.0
LEG,LEG,STOCH_ONLY_CONTROL,2020-01-10,2020-01-13,38.08722310906288,GREEN,296.89093017578125,286.1447882080078,269.2582245635986,2020-01-09,37.74907453704528,0.8957797672251688,True,13.0,4.43907164160553,-9.806265685351878,4.43907164160553,-4.156564526778405,3.188073327543961,1.3115641539843015,-4.096025746125909,-8.232434597227966,True,0.0,True,2.0,False,
LEG,LEG,V0.1,2020-01-10,2020-01-13,38.08722310906288,GREEN,296.89093017578125,286.1447882080078,269.2582245635986,2020-01-09,37.74907453704528,0.8957797672251688,True,13.0,4.43907164160553,-9.806265685351878,4.43907164160553,-4.156564526778405,3.188073327543961,1.3115641539843015,-4.096025746125909,-8.232434597227966,True,0.0,True,2.0,False,
PG,PG,STOCH_ONLY_CONTROL,2020-01-10,2020-01-13,104.45631600307694,GREEN,296.89093017578125,286.1447882080078,269.2582245635986,2020-01-06,102.66202465926916,1.7477653979287355,False,,3.912109798876151,-0.15322777532762455,3.912109798876151,-0.15322777532762455,1.6854774807438577,2.2409397795333907,1.9407783248186705,0.7239178274152103,True,3.0,True,10.0,False,
PG,PG,V0.1,2020-01-10,2020-01-13,104.45631600307694,GREEN,296.89093017578125,286.1447882080078,269.2582245635986,2020-01-06,102.66202465926916,1.7477653979287355,False,,3.912109798876151,-0.15322777532762455,3.912109798876151,-0.15322777532762455,1.6854774807438577,2.2409397795333907,1.9407783248186705,0.7239178274152103,True,3.0,True,10.0,False,
AMCR,AMCR,STOCH_ONLY_CONTROL,2020-01-13,2020-01-14,40.26017276605638,GREEN,298.9327697753906,286.6059808349609,269.4917705535889,2020-01-06,39.087181091308594,3.0009625713546484,False,,4.323292358903474,-2.8195482101996627,4.323292358903474,-2.8195482101996627,0.8458649390969297,1.9736782832386002,3.5714099061418203,-1.5977480109190423,True,3.0,True,9.0,False,
AMCR,AMCR,V0.1,2020-01-13,2020-01-14,40.26017276605638,GREEN,298.9327697753906,286.6059808349609,269.4917705535889,2020-01-06,39.087181091308594,3.0009625713546484,False,,4.323292358903474,-2.8195482101996627,4.323292358903474,-2.8195482101996627,0.8458649390969297,1.9736782832386002,3.5714099061418203,-1.5977480109190423,True,3.0,True,9.0,False,
CB,CB,STOCH_ONLY_CONTROL,2020-01-13,2020-01-14,135.8089899744703,GREEN,298.9327697753906,286.6059808349609,269.4917705535889,2020-01-09,135.04129966136568,0.568485578137734,False,,11.544112818787,-0.8578035638186821,11.544112818787,-0.8578035638186821,2.2941726047023048,0.3391769781592835,9.941465815464134,8.983910975475196,True,3.0,True,14.0,True,15.0
PEP,PEP,STOCH_ONLY_CONTROL,2020-01-13,2020-01-14,111.23918816472,GREEN,298.9327697753906,286.6059808349609,269.4917705535889,2020-01-07,109.41761214364142,1.6647923358876104,False,,7.7544441145848575,-0.3524715474774953,7.7544441145848575,-0.3524715474774953,5.28713992316614,4.0754880329362475,5.9626933094658385,7.2697887713798925,True,1.0,True,3.0,True,5.0
