window,ticker,loaded,first,last,rows
2015_2016,ABBV,True,2013-01-04,2017-11-10,1224.0
2015_2016,ABT,True,1983-04-06,2017-11-10,8726.0
2015_2016,ADM,True,1983-04-06,2017-11-10,8726.0
2015_2016,ADP,True,1983-04-06,2017-11-10,8724.0
2015_2016,AFL,True,1984-07-19,2017-11-10,8398.0
2015_2016,APD,True,1983-04-06,2017-11-10,8725.0
2015_2016,BCR,True,1983-04-06,2017-11-10,8724.0
2015_2016,BDX,True,1983-04-06,2017-11-10,8725.0
2015_2016,BEN,True,1984-09-07,2017-11-10,8362.0
2015_2016,BF-B,True,2010-08-23,2017-11-10,1819.0
2015_2016,CAH,True,1988-01-04,2017-11-10,7519.0
2015_2016,CB,True,1993-03-26,2017-11-10,6201.0
2015_2016,CINF,True,1990-03-26,2017-11-10,6962.0
2015_2016,CL,True,1977-01-03,2017-11-10,10305.0
2015_2016,CLX,True,1983-03-21,2017-11-10,8736.0
2015_2016,CTAS,True,1990-03-26,2017-11-10,6962.0
2015_2016,CVX,True,1970-01-02,2017-11-10,12073.0
2015_2016,DOV,True,1985-07-01,2017-11-10,8160.0
2015_2016,ECL,True,1988-01-05,2017-11-10,7524.0
2015_2016,ED,True,1970-01-02,2017-11-10,12075.0
2015_2016,EMR,True,1982-01-04,2017-11-10,9044.0
2015_2016,FDO,False,,,
2015_2016,GPC,True,1983-04-06,2017-11-10,8726.0
2015_2016,GWW,True,1984-12-17,2017-11-10,8295.0
2015_2016,HCP,True,2005-02-25,2017-11-10,3201.0
2015_2016,HRL,True,2005-02-25,2017-11-10,3201.0
2015_2016,ITW,True,1987-11-05,2017-11-10,7566.0
2015_2016,JNJ,True,1970-01-02,2017-11-10,12074.0
2015_2016,KMB,True,1984-12-17,2017-11-10,8295.0
2015_2016,KO,True,1970-01-02,2017-11-10,12075.0
2015_2016,LEG,True,1987-11-05,2017-11-10,7563.0
2015_2016,LOW,True,1985-07-01,2017-11-10,8158.0
2015_2016,MCD,True,1970-01-02,2017-11-10,12075.0
2015_2016,MDT,True,1981-12-31,2017-11-10,9044.0
2015_2016,MHFI,True,1985-07-01,2017-11-10,8160.0
2015_2016,MKC,True,1999-05-25,2017-11-10,4646.0
2015_2016,MMM,True,1970-01-02,2017-11-10,12075.0
2015_2016,NUE,True,1983-09-01,2017-11-10,8622.0
2015_2016,PEP,True,1977-01-03,2017-11-10,10307.0
2015_2016,PG,True,1970-01-02,2017-11-10,12075.0
2015_2016,PNR,True,2005-02-25,2017-11-10,3201.0
2015_2016,PPG,True,1983-04-06,2017-11-10,8726.0
2015_2016,SHW,True,1985-07-01,2017-11-10,8159.0
2015_2016,SIAL,False,,,
2015_2016,SWK,True,1985-07-01,2017-11-10,8160.0
2015_2016,SYY,True,1987-07-23,2017-11-10,7638.0
2015_2016,T,True,1984-07-19,2017-11-10,8401.0
2015_2016,TGT,True,1983-04-06,2017-11-10,8726.0
2015_2016,TROW,True,1989-09-13,2017-11-10,7091.0
2015_2016,VFC,True,1985-07-01,2017-11-10,8157.0
2015_2016,WBA,True,1985-07-01,2017-11-10,8157.0
2015_2016,WMT,True,1972-03-20,2017-11-10,11443.0
2015_2016,XOM,True,1970-01-02,2017-11-10,12074.0
