window,ticker,loaded,first,last,rows
2022,ABBV,True,2020-01-02,2023-02-14,786.0
2022,ABT,True,2020-01-02,2023-02-14,786.0
2022,ADM,True,2020-01-02,2023-02-14,786.0
2022,ADP,True,2020-01-02,2023-02-14,786.0
2022,AFL,True,2020-01-02,2023-02-14,786.0
2022,ALB,True,2020-01-02,2023-02-14,786.0
2022,AMCR,True,2020-01-02,2023-02-14,786.0
2022,AOS,True,2020-01-02,2023-02-14,786.0
2022,APD,True,2020-01-02,2023-02-14,786.0
2022,ATO,True,2020-01-02,2023-02-14,786.0
2022,BDX,True,2020-01-02,2023-02-14,786.0
2022,BEN,True,2020-01-02,2023-02-14,786.0
2022,BF-B,True,2020-01-02,2023-02-14,786.0
2022,CAH,True,2020-01-02,2023-02-14,786.0
2022,CAT,True,2020-01-02,2023-02-14,786.0
2022,CB,True,2020-01-02,2023-02-14,786.0
2022,CINF,True,2020-01-02,2023-02-14,786.0
2022,CL,True,2020-01-02,2023-02-14,786.0
2022,CLX,True,2020-01-02,2023-02-14,786.0
2022,CTAS,True,2020-01-02,2023-02-14,786.0
2022,CVX,True,2020-01-02,2023-02-14,786.0
2022,DOV,True,2020-01-02,2023-02-14,786.0
2022,ECL,True,2020-01-02,2023-02-14,786.0
2022,ED,True,2020-01-02,2023-02-14,786.0
2022,EMR,True,2020-01-02,2023-02-14,786.0
2022,ESS,True,2020-01-02,2023-02-14,786.0
2022,EXPD,True,2020-01-02,2023-02-14,786.0
2022,FRT,True,2020-01-02,2023-02-14,786.0
2022,GD,True,2020-01-02,2023-02-14,786.0
2022,GPC,True,2020-01-02,2023-02-14,786.0
2022,GWW,True,2020-01-02,2023-02-14,786.0
2022,HRL,True,2020-01-02,2023-02-14,786.0
2022,IBM,True,2020-01-02,2023-02-14,786.0
2022,ITW,True,2020-01-02,2023-02-14,786.0
2022,JNJ,True,2020-01-02,2023-02-14,786.0
2022,KMB,True,2020-01-02,2023-02-14,786.0
2022,KO,True,2020-01-02,2023-02-14,786.0
2022,LIN,True,2020-01-02,2023-02-14,786.0
2022,LOW,True,2020-01-02,2023-02-14,786.0
2022,MCD,True,2020-01-02,2023-02-14,786.0
2022,MDT,True,2020-01-02,2023-02-14,786.0
2022,MKC,True,2020-01-02,2023-02-14,786.0
2022,MMM,True,2020-01-02,2023-02-14,786.0
2022,NEE,True,2020-01-02,2023-02-14,786.0
2022,NUE,True,2020-01-02,2023-02-14,786.0
2022,O,True,2020-01-02,2023-02-14,786.0
2022,PBCT,False,,,
2022,PEP,True,2020-01-02,2023-02-14,786.0
2022,PG,True,2020-01-02,2023-02-14,786.0
2022,PNR,True,2020-01-02,2023-02-14,786.0
2022,PPG,True,2020-01-02,2023-02-14,786.0
2022,ROP,True,2020-01-02,2023-02-14,786.0
2022,SHW,True,2020-01-02,2023-02-14,786.0
2022,SPGI,True,2020-01-02,2023-02-14,786.0
2022,SWK,True,2020-01-02,2023-02-14,786.0
2022,SYY,True,2020-01-02,2023-02-14,786.0
2022,T,True,2020-01-02,2023-02-14,786.0
2022,TGT,True,2020-01-02,2023-02-14,786.0
2022,TROW,True,2020-01-02,2023-02-14,786.0
2022,VFC,True,2020-01-02,2023-02-14,786.0
2022,WBA,False,,,
2022,WMT,True,2020-01-02,2023-02-14,786.0
2022,WST,True,2020-01-02,2023-02-14,786.0
2022,XOM,True,2020-01-02,2023-02-14,786.0
