window,ticker,loaded,first,last,rows
COVID_2020,ABBV,True,2018-01-02,2020-11-13,724.0
COVID_2020,ABT,True,2018-01-02,2020-11-13,724.0
COVID_2020,ADM,True,2018-01-02,2020-11-13,724.0
COVID_2020,ADP,True,2018-01-02,2020-11-13,724.0
COVID_2020,AFL,True,2018-01-02,2020-11-13,724.0
COVID_2020,ALB,True,2018-01-02,2020-11-13,724.0
COVID_2020,AMCR,True,2018-01-02,2020-11-13,461.0
COVID_2020,AOS,True,2018-01-02,2020-11-13,724.0
COVID_2020,APD,True,2018-01-02,2020-11-13,724.0
COVID_2020,ATO,True,2018-01-02,2020-11-13,724.0
COVID_2020,BDX,True,2018-01-02,2020-11-13,724.0
COVID_2020,BEN,True,2018-01-02,2020-11-13,724.0
COVID_2020,BF-B,True,2018-01-02,2020-11-13,724.0
COVID_2020,CAH,True,2018-01-02,2020-11-13,724.0
COVID_2020,CAT,True,2018-01-02,2020-11-13,724.0
COVID_2020,CB,True,2018-01-02,2020-11-13,724.0
COVID_2020,CINF,True,2018-01-02,2020-11-13,724.0
COVID_2020,CL,True,2018-01-02,2020-11-13,724.0
COVID_2020,CLX,True,2018-01-02,2020-11-13,724.0
COVID_2020,CTAS,True,2018-01-02,2020-11-13,724.0
COVID_2020,CVX,True,2018-01-02,2020-11-13,724.0
COVID_2020,DOV,True,2018-01-02,2020-11-13,724.0
COVID_2020,ECL,True,2018-01-02,2020-11-13,724.0
COVID_2020,ED,True,2018-01-02,2020-11-13,724.0
COVID_2020,EMR,True,2018-01-02,2020-11-13,724.0
COVID_2020,ESS,True,2018-01-02,2020-11-13,724.0
COVID_2020,EXPD,True,2018-01-02,2020-11-13,724.0
COVID_2020,FRT,True,2018-01-02,2020-11-13,724.0
COVID_2020,GD,True,2018-01-02,2020-11-13,724.0
COVID_2020,GPC,True,2018-01-02,2020-11-13,724.0
COVID_2020,GWW,True,2018-01-02,2020-11-13,724.0
COVID_2020,HRL,True,2018-01-02,2020-11-13,724.0
COVID_2020,ITW,True,2018-01-02,2020-11-13,724.0
COVID_2020,JNJ,True,2018-01-02,2020-11-13,724.0
COVID_2020,KMB,True,2018-01-02,2020-11-13,724.0
COVID_2020,KO,True,2018-01-02,2020-11-13,724.0
COVID_2020,LEG,True,2018-01-02,2020-11-13,724.0
COVID_2020,LIN,True,2018-01-02,2020-11-13,724.0
COVID_2020,LOW,True,2018-01-02,2020-11-13,724.0
COVID_2020,MCD,True,2018-01-02,2020-11-13,724.0
COVID_2020,MDT,True,2018-01-02,2020-11-13,724.0
COVID_2020,MKC,True,2018-01-02,2020-11-13,724.0
COVID_2020,MMM,True,2018-01-02,2020-11-13,724.0
COVID_2020,NUE,True,2018-01-02,2020-11-13,724.0
COVID_2020,O,True,2018-01-02,2020-11-13,724.0
COVID_2020,PBCT,False,,,
COVID_2020,PEP,True,2018-01-02,2020-11-13,724.0
COVID_2020,PG,True,2018-01-02,2020-11-13,724.0
COVID_2020,PNR,True,2018-01-02,2020-11-13,724.0
COVID_2020,PPG,True,2018-01-02,2020-11-13,724.0
COVID_2020,ROP,True,2018-01-02,2020-11-13,724.0
COVID_2020,ROST,True,2018-01-02,2020-11-13,724.0
COVID_2020,SHW,True,2018-01-02,2020-11-13,724.0
COVID_2020,SPGI,True,2018-01-02,2020-11-13,724.0
COVID_2020,SWK,True,2018-01-02,2020-11-13,724.0
COVID_2020,SYY,True,2018-01-02,2020-11-13,724.0
COVID_2020,T,True,2018-01-02,2020-11-13,724.0
COVID_2020,TGT,True,2018-01-02,2020-11-13,724.0
COVID_2020,TROW,True,2018-01-02,2020-11-13,724.0
COVID_2020,UTX,True,2018-01-02,2020-11-13,724.0
COVID_2020,VFC,True,2018-01-02,2020-11-13,724.0
COVID_2020,WBA,False,,,
COVID_2020,WMT,True,2018-01-02,2020-11-13,724.0
COVID_2020,XOM,True,2018-01-02,2020-11-13,724.0
