window,ticker,loaded,first,last,rows
GFC_2007_2009,FHN,True,1990-03-26,2017-11-10,6961.0
GFC_2007_2009,BAC,True,1986-05-29,2017-11-10,7929.0
GFC_2007_2009,ED,True,1970-01-02,2017-11-10,12075.0
GFC_2007_2009,USB,True,1987-11-05,2017-11-10,7561.0
GFC_2007_2009,PFE,True,1982-01-04,2017-11-10,9042.0
GFC_2007_2009,BBT,True,1990-03-26,2017-11-10,6961.0
GFC_2007_2009,CMA,True,1990-03-26,2017-11-10,6963.0
GFC_2007_2009,RF,True,2001-05-14,2017-11-10,4147.0
GFC_2007_2009,FITB,True,1990-03-26,2017-11-10,6962.0
GFC_2007_2009,MO,True,1970-01-02,2017-11-10,12074.0
GFC_2007_2009,KEY,True,1987-11-05,2017-11-10,7563.0
GFC_2007_2009,CINF,True,1990-03-26,2017-11-10,6962.0
GFC_2007_2009,LEG,True,1987-11-05,2017-11-10,7563.0
GFC_2007_2009,GCI,True,2015-06-23,2017-11-10,604.0
GFC_2007_2009,LLY,True,1982-01-04,2017-11-10,9044.0
GFC_2007_2009,KMB,True,1984-12-17,2017-11-10,8295.0
GFC_2007_2009,SNV,True,1990-01-12,2017-11-10,7012.0
GFC_2007_2009,GE,True,1962-01-02,2017-11-10,14058.0
GFC_2007_2009,JNJ,True,1970-01-02,2017-11-10,12074.0
GFC_2007_2009,BUD,True,2009-07-01,2017-11-10,2107.0
GFC_2007_2009,PPG,True,1983-04-06,2017-11-10,8726.0
GFC_2007_2009,CLX,True,1983-03-21,2017-11-10,8736.0
GFC_2007_2009,MTB,True,1991-10-04,2017-11-10,6577.0
GFC_2007_2009,KO,True,1970-01-02,2017-11-10,12075.0
GFC_2007_2009,ROH,False,,,
GFC_2007_2009,ABT,True,1983-04-06,2017-11-10,8726.0
GFC_2007_2009,AVY,True,1984-09-07,2017-11-10,8365.0
GFC_2007_2009,VFC,True,1985-07-01,2017-11-10,8157.0
GFC_2007_2009,CBSS,False,,,
GFC_2007_2009,CB,True,1993-03-26,2017-11-10,6201.0
GFC_2007_2009,PEP,True,1977-01-03,2017-11-10,10307.0
GFC_2007_2009,PG,True,1970-01-02,2017-11-10,12075.0
GFC_2007_2009,SWK,True,1985-07-01,2017-11-10,8160.0
GFC_2007_2009,EMR,True,1982-01-04,2017-11-10,9044.0
GFC_2007_2009,MMM,True,1970-01-02,2017-11-10,12075.0
GFC_2007_2009,MCD,True,1970-01-02,2017-11-10,12075.0
GFC_2007_2009,SLM,True,1988-01-05,2017-11-10,7524.0
GFC_2007_2009,WWY,False,,,
GFC_2007_2009,ADP,True,1983-04-06,2017-11-10,8724.0
GFC_2007_2009,WMT,True,1972-03-20,2017-11-10,11443.0
GFC_2007_2009,SHW,True,1985-07-01,2017-11-10,8159.0
GFC_2007_2009,GWW,True,1984-12-17,2017-11-10,8295.0
GFC_2007_2009,SVU,True,1985-07-01,2017-11-10,8160.0
GFC_2007_2009,FDO,False,,,
GFC_2007_2009,DOV,True,1985-07-01,2017-11-10,8160.0
GFC_2007_2009,MHP,False,,,
GFC_2007_2009,ADM,True,1983-04-06,2017-11-10,8726.0
GFC_2007_2009,STT,True,1986-07-09,2017-11-10,7902.0
GFC_2007_2009,BDX,True,1983-04-06,2017-11-10,8725.0
GFC_2007_2009,JCI,True,1987-12-30,2017-11-10,7527.0
GFC_2007_2009,LOW,True,1985-07-01,2017-11-10,8158.0
GFC_2007_2009,SIAL,False,,,
GFC_2007_2009,STR,False,,,
GFC_2007_2009,TGT,True,1983-04-06,2017-11-10,8726.0
GFC_2007_2009,WAG,False,,,
GFC_2007_2009,NUE,True,1983-09-01,2017-11-10,8622.0
GFC_2007_2009,BCR,True,1983-04-06,2017-11-10,8724.0
GFC_2007_2009,CTL,True,1987-11-05,2017-11-10,7565.0
GFC_2007_2009,PGR,True,1986-07-09,2017-11-10,7901.0
