window,macd_group,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
2015_2016,MACD_FAIL,132,47,45.45454545454545,59.84848484848485,46.21212121212121,30.303030303030305,3.9772991051637026,-2.6699053277653904,0.5131160148004719,0.850960159849874,0.8025149617105453,0.8962890448633543,2.47919368965529
2015_2016,MACD_PASS,180,51,59.44444444444444,53.333333333333336,40.0,15.555555555555555,2.7749956535755436,-3.1228483711798503,-0.2767366867578443,-0.3086039777934787,-0.2056091923784436,-0.33342322327141194,2.3416786000895473
2022,MACD_FAIL,25,20,40.0,88.0,68.0,60.0,7.155781358129684,-4.260954331827957,0.8166986267588691,0.786700505477953,1.2108284918473418,0.893882043825478,4.591573881455702
2022,MACD_PASS,33,30,63.63636363636363,51.515151515151516,42.42424242424242,27.27272727272727,3.860605283370961,-5.4452530255827645,-1.4701371314362248,-2.1590375870297867,-2.6826337021020326,-2.3297760845161535,4.29706788540225
COVID_2020,MACD_FAIL,60,42,78.33333333333333,75.0,50.0,25.0,4.2660956327023465,-7.934946324473562,-3.0099132080821533,-7.289799419871321,-9.107820238007015,-7.853278921657365,4.4096924888246125
COVID_2020,MACD_PASS,70,43,65.71428571428571,71.42857142857143,61.42857142857143,35.714285714285715,5.612729827702455,-5.360120323731656,-1.8432498932774353,-3.3417150224944896,-3.758420637584722,-4.689426366354086,3.5744755030928665
GFC_2007_2009,MACD_FAIL,61,39,45.90163934426229,81.9672131147541,80.32786885245902,52.459016393442624,6.973111200323906,-3.320304411932501,1.3584539604858596,0.9164670569690515,1.3770946041049315,1.339064667430124,2.898746427205001
GFC_2007_2009,MACD_PASS,99,44,35.35353535353536,74.74747474747475,66.66666666666666,49.494949494949495,6.533105540654064,-3.590084543558082,0.034152017239859285,1.2293480894170277,2.2134773348564893,2.4932455309949364,3.7984542567850887
ALL_WINDOWS_POOLED,MACD_FAIL,278,77,52.15827338129496,70.50359712230215,56.4748201438849,36.69064748201439,4.982818478477518,-4.092038525744701,-0.034461587311718646,-0.8974432409353772,-1.1736106337699448,-0.8951675739877862,3.082743410043076
ALL_WINDOWS_POOLED,MACD_PASS,382,87,54.712041884816756,62.04188481675392,51.047120418848166,29.05759162303665,4.362742744656448,-3.8545362542671997,-0.5863182507237742,-0.625684678264758,-0.44369569444404466,-0.5715375106130222,2.9053908821350616
