window,regime,macd_group,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
2015_2016,GREEN,MACD_FAIL,112,43,48.214285714285715,59.82142857142857,47.32142857142857,31.25,4.113511790238307,-2.3719653561936087,0.7331716723112598,1.0497066287920638,1.186277718212369,1.4819748064696674,2.263991751351524
2015_2016,GREEN,MACD_PASS,169,51,59.171597633136095,53.25443786982249,39.053254437869825,15.384615384615385,2.77322206561634,-3.038355939501838,-0.22047904566974202,-0.31382327518791686,-0.15857384350243392,-0.21289785786274168,2.298616761594796
2015_2016,YELLOW,MACD_FAIL,20,19,30.0,60.0,40.0,25.0,3.21450806874592,-4.338369168567372,-0.7191956672599413,-0.2620200662263866,-1.3465564746996672,-2.383551220132,5.380689342379608
2015_2016,YELLOW,MACD_PASS,11,10,63.63636363636363,54.54545454545454,54.54545454545454,18.181818181818183,2.802244414039661,-4.420959366960229,-1.1410586271114163,-0.22841659055165398,-0.9282431887462278,-2.185131110004617,3.354323579042684
2022,GREEN,MACD_FAIL,3,3,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333,4.723955100481951,-4.778703522144823,-5.374479917991654,-0.9830902120568142,0.19057138920758346,2.448569122643392,3.450279359783681
2022,GREEN,MACD_PASS,17,17,76.47058823529412,35.294117647058826,23.52941176470588,11.76470588235294,2.214749520391259,-6.408443571114742,-2.960566892231963,-4.343391878839793,-6.494351017360544,-6.724837469743922,4.11047753629552
2022,YELLOW,MACD_FAIL,22,17,40.909090909090914,90.9090909090909,68.18181818181817,63.63636363636363,7.487394029627101,-4.190352169512021,1.660950246497577,1.028035603323603,1.3499544603891271,0.6818792603503079,4.616199762979278
2022,YELLOW,MACD_PASS,16,14,50.0,68.75,62.5,43.75,5.609327031536894,-4.421863070955038,0.11344448940924717,0.16183884801834547,1.3673159453601362,2.339976637288351,4.374364487339721
COVID_2020,GREEN,MACD_FAIL,51,37,76.47058823529412,72.54901960784314,52.94117647058824,27.450980392156865,4.29289447828752,-7.396434355467918,-2.559842902339704,-5.380964698655044,-7.762268628843847,-6.217936100219986,4.066185791816412
COVID_2020,GREEN,MACD_PASS,54,39,61.111111111111114,70.37037037037037,64.81481481481481,38.88888888888889,5.476135429645995,-3.4870576475556248,0.2405445303076791,-0.3764706169729251,-0.9947120648972136,-2.5480144254807375,3.034561673898417
COVID_2020,YELLOW,MACD_FAIL,9,9,88.88888888888889,88.88888888888889,33.33333333333333,11.11111111111111,4.114235507719692,-10.986514148838879,-5.560311607289368,-18.10652950676356,-16.732612689931653,-17.120221576469177,6.135863200044467
COVID_2020,YELLOW,MACD_PASS,16,16,81.25,75.0,50.0,25.0,6.073735921143002,-11.681706855825759,-8.876056072877194,-13.34941489112977,-13.08593707040507,-11.916691666801636,7.225433600410646
GFC_2007_2009,GREEN,MACD_FAIL,56,38,44.642857142857146,82.14285714285714,80.35714285714286,53.57142857142857,7.1082468317154435,-3.228881297190626,1.516754711325002,1.1681846372911038,1.5387560427759006,1.512261413313057,2.9286399288365073
GFC_2007_2009,GREEN,MACD_PASS,94,44,35.1063829787234,75.53191489361703,67.02127659574468,50.0,6.572897963861544,-3.5819585981679753,-0.009868734282875914,1.159326435975482,2.1395102377587083,2.4701713915340484,3.685836941150078
GFC_2007_2009,YELLOW,MACD_FAIL,5,5,60.0,80.0,80.0,40.0,5.459592128738686,-4.344243297041489,-0.4145144489125353,-1.9027698426379345,-0.4335135090099239,-0.6007388864587249,2.898746427205001
GFC_2007_2009,YELLOW,MACD_PASS,5,5,40.0,60.0,60.0,40.0,5.7850079843534274,-3.7428523168920984,0.861742145867279,2.5457551741180895,3.6040587602947722,2.927039352859631,4.846444240383629
