variable,bucket,windows_eligible,windows_macd_lower_stop,windows_macd_higher_hit3,windows_macd_higher_hit5,windows_macd_higher_ret20,median_delta_stop_pp,median_delta_hit3_pp,median_delta_hit5_pp,median_delta_ret20_pp
breadth_5d_positive_pct,"(25,50]",5,3,2,3,3,-6.787330316742086,-7.1703296703296715,9.215686274509807,0.24369237547083178
breadth_5d_positive_pct,"(50,75]",6,2,3,3,3,10.99673986426465,-0.35534591194968357,-5.428146732494559,-0.42900195487536064
breadth_5d_positive_pct,<=25,5,3,3,4,5,-12.007593735168484,0.6315789473684177,5.647840531561464,0.8939927758624779
breadth_5d_positive_pct,>75,4,3,3,2,1,-13.133195307108352,12.428465254552215,4.49368264585656,-1.158917854106422
breadth_above_ma50_pct,"(25,50]",4,1,1,2,2,12.208624708624704,-12.185314685314687,-2.748868778280543,-0.3505070815042251
breadth_above_ma50_pct,"(50,75]",5,3,2,2,2,-0.42735042735042583,-4.985754985754987,-0.5628517823639783,-0.6549181520964547
breadth_above_ma50_pct,<=25,4,3,2,1,1,-10.543106131341425,1.5056022408963656,-5.8567031463748265,-0.7754347738371348
breadth_above_ma50_pct,>75,5,2,1,2,1,1.1524655204987724,-12.5,-4.166666666666661,-0.35894013500337935
cluster_share_pct,"(2,5]",5,3,1,2,3,-0.6302521008403303,-6.5126050420168085,-5.574136008918618,0.10509748468562141
cluster_share_pct,"(5,10]",4,2,2,1,1,0.21953405017921135,-3.6379928315412187,-7.40591397849462,-0.7605226769442462
cluster_share_pct,<=2,5,3,3,1,4,-4.323308270676698,4.964539007092206,-1.7857142857142847,0.7777136999882697
cluster_share_pct,>10,5,2,1,2,3,5.0284090909090935,-4.285714285714292,-5.555555555555543,0.4377193913329971
cluster_size,1,5,3,3,1,4,-4.323308270676698,4.964539007092206,-1.7857142857142847,0.7777136999882697
cluster_size,10+,3,1,1,1,3,4.166666666666671,-8.333333333333329,-4.166666666666668,1.6173445878042685
cluster_size,2-4,6,2,2,2,2,6.6082362235828604,-12.757697456492636,-7.629205345974057,-0.8216496377083405
cluster_size,5-9,4,2,1,0,2,-2.335858585858583,-7.7206736353077865,-10.972222222222218,0.8561762184280377
spy_dist_ma200_pct,"(-5,0]",5,3,3,3,4,-13.333333333333343,9.890109890109898,7.6923076923076925,3.527778239318356
spy_dist_ma200_pct,"(0,5]",3,2,1,1,1,-2.262931034482758,-9.477124183006538,-2.614379084967318,-0.23326529646522332
spy_dist_ma200_pct,>5,5,4,3,2,2,-2.7272727272727195,7.27272727272727,-2.961980548187448,-0.11551280246237217
spy_dist_ma50_pct,"(-2,0]",3,2,1,1,1,-3.636363636363633,-5.137254901960787,-1.918976545842213,-0.8355569852496125
spy_dist_ma50_pct,"(-5,-2]",3,0,0,0,1,8.333333333333336,-12.5,-35.8974358974359,-4.566819928263586
spy_dist_ma50_pct,"(0,2]",5,3,2,3,2,-5.438596491228068,-0.8714596949890989,16.842105263157894,-0.7552038500759513
spy_dist_ma50_pct,<=-5,3,1,0,1,3,3.030303030303024,-8.080808080808076,-10.101010101010097,3.2669099238050396
spy_dist_ma50_pct,>2,5,2,3,2,2,0.0,0.7590132827324538,-10.626185958254268,-0.10094749216107102
spy_ma50_slope10_pct,"(-1,0]",4,2,2,1,3,0.8615567439096861,-3.4641992088800677,-14.86508268423162,0.6206340687162646
spy_ma50_slope10_pct,"(0,1]",5,2,2,2,2,7.407407407407405,-8.085867620751344,-7.407407407407412,-1.0295956087205085
spy_ma50_slope10_pct,<=-1,1,0,0,0,0,21.794871794871803,-21.153846153846153,-36.53846153846153,-3.954300392316375
spy_ma50_slope10_pct,>1,5,3,3,2,3,-0.6183368869936103,9.50959488272921,-1.0395010395010402,0.292709510232966
spy_roc5_pct,"(-2,0]",4,2,2,2,2,-0.019710807354670123,-4.902626811594203,-4.059886292942558,-0.2605033591129028
spy_roc5_pct,"(-4,-2]",4,2,2,3,3,-13.5,11.5,23.0,2.1860080730125517
spy_roc5_pct,"(0,2]",6,3,2,2,3,4.192370771857128,-3.6442534546680143,-9.636139377119951,-0.32785666832262433
spy_roc5_pct,<=-4,1,1,1,0,1,-3.333333333333343,6.666666666666657,0.0,3.7404323971143723
spy_roc5_pct,>2,2,1,1,1,0,-3.304473304473298,9.372294372294373,-8.145743145743147,-2.839067685866644
spy_rv20_ann_pct,"(10,20]",5,3,2,1,2,-7.392845633258137,-8.415147265077145,-6.237816764132553,-0.1363227923253869
spy_rv20_ann_pct,"(20,30]",4,1,2,1,2,14.926739926739925,-3.288378288378283,-3.571428571428566,-1.1353140022989068
spy_rv20_ann_pct,"(30,40]",1,0,1,1,1,0.0,13.492063492063494,7.142857142857142,7.308532697057064
spy_rv20_ann_pct,<=10,4,2,2,2,1,3.958333333333332,2.5310433375545287,-3.1250000000000018,-1.2854482177718947
