window,variable,bucket,bucket_n,pass_n,fail_n,delta_stop_pp,delta_hit3_pp,delta_hit5_pp,delta_mfe_pp,delta_mae_pp,delta_ret20_pp
ALL_WINDOWS_POOLED,spy_roc5_pct,<=-4,56,12,44,-19.696969696969695,15.909090909090907,26.51515151515152,4.45128759439115,4.231384896145515,9.147671753236672
ALL_WINDOWS_POOLED,spy_roc5_pct,"(-4,-2]",122,49,73,-6.429969247973155,5.675146771037191,9.896561364271733,0.6443681944446373,-1.0974353998916455,-1.1010516632620762
ALL_WINDOWS_POOLED,spy_roc5_pct,"(-2,0]",373,186,187,1.8371571502501283,1.909033408084646,-1.4231499051233456,0.062154334774362496,-0.417428270204506,0.10011186043429299
ALL_WINDOWS_POOLED,spy_roc5_pct,"(0,2]",608,389,219,6.495991360589741,-5.410195912713782,-6.368043572677863,-0.6594908189402338,-0.09555424763329823,-0.6236849175308113
ALL_WINDOWS_POOLED,spy_roc5_pct,>2,119,94,25,-10.51063829787234,5.702127659574458,-8.638297872340424,-1.5126133035824738,-0.99501850408735,-3.347820566973045
BEAR_2022,spy_roc5_pct,<=-4,16,6,10,-3.333333333333343,6.666666666666657,0.0,-0.8147941751789478,-0.08059727922967941,3.7404323971143723
BEAR_2022,spy_roc5_pct,"(-4,-2]",6,1,5,100.0,-100.0,-80.0,-8.312432623966082,-1.8237666214731072,-7.413086536051615
BEAR_2022,spy_roc5_pct,"(0,2]",22,12,10,28.333333333333336,-1.6666666666666643,-35.0,-3.327197333596841,-0.6742514690679666,-4.28841644715129
BULL_2013_2014,spy_roc5_pct,<=-4,4,2,2,-50.0,50.0,50.0,12.88248579269826,0.1393883051848066,7.2854618924317105
BULL_2013_2014,spy_roc5_pct,"(-4,-2]",45,20,25,-27.0,23.0,26.0,1.5334556270400554,0.7771533675455586,1.62639033172122
BULL_2013_2014,spy_roc5_pct,"(-2,0]",142,68,74,-3.7758346581875983,11.88394276629571,1.391096979332275,0.3162697161285024,0.1468422671931675,0.7831246388921462
BULL_2013_2014,spy_roc5_pct,"(0,2]",230,136,94,-6.539424280350445,5.47559449311639,11.311013767209008,0.5097233644474346,0.11052593035872871,0.36463592652771215
BULL_2013_2014,spy_roc5_pct,>2,26,22,4,-22.72727272727273,43.18181818181817,25.0,0.7650083165037582,-0.4122479747469723,-2.4746488138438973
BULL_2017,spy_roc5_pct,"(-2,0]",56,32,24,21.875,-13.541666666666664,-13.541666666666671,-0.7638169461548427,-0.506991431606812,-1.3041313571179518
BULL_2017,spy_roc5_pct,"(0,2]",116,69,47,22.386679000925067,-22.386679000925064,-19.272278754239903,-2.2957777769300964,-0.05838771559960554,-1.7011923262135527
CHOP_2015_2016,spy_roc5_pct,<=-4,15,1,14,-7.142857142857142,42.85714285714286,-35.714285714285715,-0.24471808668809025,1.1500645963856408,3.756745693599209
CHOP_2015_2016,spy_roc5_pct,"(-4,-2]",18,8,10,0.0,0.0,27.5,0.3236061896704743,-1.1647008025527246,2.7456258143038834
CHOP_2015_2016,spy_roc5_pct,"(-2,0]",110,46,64,3.736413043478258,3.736413043478258,-9.51086956521739,-1.0920700466582933,-0.9292955966024565,-2.720936041779831
CHOP_2015_2016,spy_roc5_pct,"(0,2]",158,115,43,14.924165824064701,-5.621840242669364,-20.38422649140546,-1.1431273579373182,-0.40433679181017324,-0.7269371280822977
CHOP_2015_2016,spy_roc5_pct,>2,11,10,1,-70.0,40.0,10.0,3.5619467008226997,1.4010428618086692,-7.141405077392564
COVID_2020,spy_roc5_pct,<=-4,20,2,18,-50.0,-11.111111111111114,33.333333333333336,6.700354297815881,8.797196085249059,8.094074572315991
COVID_2020,spy_roc5_pct,"(-4,-2]",33,15,18,14.444444444444457,-3.3333333333333357,-3.3333333333333304,0.7454294613898451,-4.092361099742234,-6.958992451893325
COVID_2020,spy_roc5_pct,"(-2,0]",8,7,1,-42.85714285714286,57.14285714285714,28.57142857142857,2.4729464684928733,2.5522434738129527,39.14263183411282
COVID_2020,spy_roc5_pct,"(0,2]",38,24,14,-7.738095238095227,21.42857142857143,4.761904761904759,1.7235594380021433,0.6194581611810412,0.7015578438980841
COVID_2020,spy_roc5_pct,>2,30,21,9,7.936507936507944,19.04761904761905,1.5873015873015817,-0.9037923939321981,-1.3352342000868354,-3.0111073017933236
GFC_2007_2009,spy_roc5_pct,"(-4,-2]",20,5,15,-46.666666666666664,26.66666666666667,20.0,1.9484860529741903,1.8878572371677889,3.609573273927727
GFC_2007_2009,spy_roc5_pct,"(-2,0]",54,30,24,-5.000000000000007,-17.5,10.0,1.082452846556567,-0.7576125030157814,2.9466973961510687
GFC_2007_2009,spy_roc5_pct,"(0,2]",44,33,11,-9.090909090909086,-30.303030303030297,0.0,-0.21718928700326323,-0.08700288059670536,0.07122379143704904
GFC_2007_2009,spy_roc5_pct,>2,41,30,11,-14.54545454545454,-0.30303030303030454,-17.878787878787875,-2.284201731818282,-0.852716232002265,-2.667028069939964
ALL_WINDOWS_POOLED,spy_dist_ma50_pct,<=-5,99,40,59,-2.711864406779661,4.067796610169495,10.29661016949153,1.9041850466770143,1.659455899891027,4.114898807031707
ALL_WINDOWS_POOLED,spy_dist_ma50_pct,"(-5,-2]",73,44,29,12.14733542319749,-6.504702194357364,-29.153605015673982,-2.457901742107649,-0.25356250656970936,-1.973051298178048
ALL_WINDOWS_POOLED,spy_dist_ma50_pct,"(-2,0]",242,145,97,3.5762531105581203,1.258442943476723,-4.67116956985425,-0.8285276901841039,-0.7086233727288462,-1.5167831239497573
ALL_WINDOWS_POOLED,spy_dist_ma50_pct,"(0,2]",425,248,177,4.884271915436493,-2.3806269363951174,-2.5287042099507957,0.06268595887261341,-0.025850518783670395,-0.19897165926947036
ALL_WINDOWS_POOLED,spy_dist_ma50_pct,>2,439,253,186,0.5610098176718097,-4.86208508648901,-2.1866632666071624,-0.479996401204533,-0.3412450313044548,-0.3842409725576108
BEAR_2022,spy_dist_ma50_pct,<=-5,20,9,11,3.030303030303024,-8.080808080808076,-10.101010101010097,-1.1329495233059594,0.5868940752685914,3.865485760824749
BEAR_2022,spy_dist_ma50_pct,"(-5,-2]",28,15,13,31.282051282051277,-23.5897435897436,-35.8974358974359,-3.695099134707009,-1.8984837828650507,-4.566819928263586
BEAR_2022,spy_dist_ma50_pct,"(0,2]",4,3,1,0.0,0.0,0.0,-1.5754304503780234,1.8597683247896901,-12.851612609996518
BULL_2013_2014,spy_dist_ma50_pct,<=-5,12,8,4,-25.0,25.0,25.0,1.8553842238399376,1.0342291264668597,-1.4374916837245841
BULL_2013_2014,spy_dist_ma50_pct,"(-5,-2]",13,8,5,0.0,-12.5,-37.5,-4.593145014663953,-0.11347643030583887,-4.825699881496915
BULL_2013_2014,spy_dist_ma50_pct,"(-2,0]",109,67,42,-13.041933191186924,16.31130063965884,-1.918976545842213,-0.0008591004134093083,0.3106530462172652,-0.8355569852496125
