variable,outcome,n,state_mean,state_sd,interaction_coef_per_1sd,interaction_se,interaction_pvalue,macd_main_coef_at_state_mean
spy_roc5_pct,stop,1278,-0.06806812891113756,1.9683688366569543,-0.01558098692157283,0.03939021434449315,0.6924335142297889,0.00847712859249181
spy_roc5_pct,hit3,1278,-0.06806812891113756,1.9683688366569543,0.00032667783881955737,0.028784886997464728,0.9909450536025757,7.424360388860046e-05
spy_roc5_pct,hit5,1278,-0.06806812891113756,1.9683688366569543,-0.03213954728285689,0.029072769375473772,0.2689489418790605,-0.015301024814743668
spy_roc5_pct,ret20,1278,-0.06806812891113756,1.9683688366569543,-1.057076530322085,0.5872638237068318,0.07186019521581814,-0.21901402966669958
spy_dist_ma50_pct,stop,1278,0.5923352669942307,3.0923012538235177,-0.009416960549138726,0.03452414056371046,0.7850342364066673,0.019808182640260408
spy_dist_ma50_pct,hit3,1278,0.5923352669942307,3.0923012538235177,-0.029119284163898418,0.02641516598462341,0.27030088725658596,-0.018841008105193343
spy_dist_ma50_pct,hit5,1278,0.5923352669942307,3.0923012538235177,-0.011965752639185947,0.02760099866518176,0.6646326265913846,-0.028985800198133866
spy_dist_ma50_pct,ret20,1278,0.5923352669942307,3.0923012538235177,-0.6208088405109402,0.6803485136173497,0.3615126678951377,-0.0189263200535428
spy_dist_ma200_pct,stop,1278,6.2279890145298715,4.756311711905383,-0.048935870309612446,0.031913466076659174,0.125179169552879,0.01976162005310811
spy_dist_ma200_pct,hit3,1278,6.2279890145298715,4.756311711905383,-0.006963608516373326,0.02594232347175896,0.788371001404255,-0.020643488175710885
spy_dist_ma200_pct,hit5,1278,6.2279890145298715,4.756311711905383,0.01963921008433555,0.02758029655586462,0.4764189985368733,-0.030149233510460328
spy_dist_ma200_pct,ret20,1278,6.2279890145298715,4.756311711905383,-0.22300976669286937,0.5957834460121437,0.708171114636623,0.015178521147124605
spy_ma50_slope10_pct,stop,1278,0.6160435660855785,0.8108175129589011,-0.028729019324660564,0.031113658652916813,0.35582111192248966,0.029450672512094767
spy_ma50_slope10_pct,hit3,1278,0.6160435660855785,0.8108175129589011,-0.0066276445395453375,0.027377462348160644,0.8087151055543208,-0.029144178475965603
spy_ma50_slope10_pct,hit5,1278,0.6160435660855785,0.8108175129589011,0.03915663707179728,0.029454001637011104,0.183710582551477,-0.039321721292343154
spy_ma50_slope10_pct,ret20,1278,0.6160435660855785,0.8108175129589011,0.13007437531111377,0.672940729187871,0.8467299236620026,-0.05262900595433414
spy_rv20_ann_pct,stop,1278,13.184145701026344,7.790391788105484,-0.036108844165485585,0.03354558580609559,0.2817433969930623,0.020822329432602062
spy_rv20_ann_pct,hit3,1278,13.184145701026344,7.790391788105484,0.008572408046215252,0.027781763889788664,0.7576544181032183,-0.0216008186048037
spy_rv20_ann_pct,hit5,1278,13.184145701026344,7.790391788105484,0.018223594968785648,0.027582971283113097,0.5088157502232394,-0.03149604789792637
spy_rv20_ann_pct,ret20,1278,13.184145701026344,7.790391788105484,0.6665962689648236,0.7506937142926025,0.3745549028775571,0.006921102878630896
breadth_above_ma50_pct,stop,1278,54.82167936237896,24.030762351914024,-0.0004580858144724864,0.03620526109301622,0.9899050625167732,0.02313094870618445
breadth_above_ma50_pct,hit3,1278,54.82167936237896,24.030762351914024,-0.02750279632893465,0.028823070428517714,0.3399855308510942,-0.02326977841424449
breadth_above_ma50_pct,hit5,1278,54.82167936237896,24.030762351914024,0.005736871609485568,0.02735887852979497,0.8339099626524785,-0.03312139224178485
breadth_above_ma50_pct,ret20,1278,54.82167936237896,24.030762351914024,-0.46955124215624605,0.5072999665163066,0.35465963929432176,-0.01868157743649327
breadth_5d_positive_pct,stop,1278,50.8390466311293,26.004771890162704,0.002623752551065531,0.03754142909632446,0.9442815926232015,0.007306601052660073
breadth_5d_positive_pct,hit3,1278,50.8390466311293,26.004771890162704,0.008915422346450009,0.030892339353341805,0.7728901411828285,5.9016423446629166e-05
breadth_5d_positive_pct,hit5,1278,50.8390466311293,26.004771890162704,-0.008039779726465562,0.028149178783109786,0.7751743189076985,-0.012593689487457888
breadth_5d_positive_pct,ret20,1278,50.8390466311293,26.004771890162704,-1.0443586711325572,0.45327994802841287,0.021222436664557417,-0.12443330433099664
cluster_size,stop,1278,4.388106416275431,4.451398051697205,-0.015185381061349389,0.03817732538199797,0.6908077206293888,0.022173791805365745
cluster_size,hit3,1278,4.388106416275431,4.451398051697205,-0.024152790712456424,0.026808258483892025,0.3676170820172593,-0.02289990379230883
cluster_size,hit5,1278,4.388106416275431,4.451398051697205,-0.0018678850687742804,0.03076946927249503,0.9515935171034139,-0.03484319352497738
cluster_size,ret20,1278,4.388106416275431,4.451398051697205,0.30946518022800124,0.48317889046841056,0.5218622494789518,-0.20372583663752614
cluster_share_pct,stop,1278,8.073680108554797,7.737024985473473,-0.010602871902296414,0.036109943570912226,0.7690425713680534,0.02132151976876738
cluster_share_pct,hit3,1278,8.073680108554797,7.737024985473473,-0.027357527630631005,0.02786091508342948,0.32613328665841124,-0.022781572490680118
cluster_share_pct,hit5,1278,8.073680108554797,7.737024985473473,-0.005952868789630467,0.02948348104831305,0.8399908195009618,-0.03433541595562209
cluster_share_pct,ret20,1278,8.073680108554797,7.737024985473473,0.2717936957891798,0.47722464551634863,0.5689965980626073,-0.165654039255292
