window,group,signals,signal_days,avg_signals_per_signal_day,median_signals_per_signal_day,max_same_day,days_ge3,days_ge5,days_ge10,share_signals_on_ge3_days_pct,share_signals_on_ge5_days_pct,share_signals_on_ge10_days_pct
GFC_2007_2009,ALL_BASE,160,81,1.9753086419753085,1.0,8,20,8,0,53.125,29.375,0.0
GFC_2007_2009,MACD_PASS,99,56,1.7678571428571428,1.0,7,12,4,0,48.484848484848484,22.22222222222222,0.0
GFC_2007_2009,MACD_FAIL,61,44,1.3863636363636365,1.0,4,4,0,0,21.311475409836067,0.0,0.0
BULL_2013_2014,ALL_BASE,447,184,2.4293478260869565,2.0,18,62,24,2,65.77181208053692,37.8076062639821,8.053691275167786
BULL_2013_2014,MACD_PASS,248,125,1.984,1.0,9,31,12,0,53.62903225806452,29.032258064516128,0.0
BULL_2013_2014,MACD_FAIL,199,115,1.7304347826086957,1.0,13,19,5,2,43.71859296482412,21.105527638190956,12.06030150753769
CHOP_2015_2016,ALL_BASE,312,147,2.122448979591837,1.0,11,39,13,2,55.44871794871795,29.166666666666668,7.051282051282051
CHOP_2015_2016,MACD_PASS,180,110,1.6363636363636365,1.0,9,15,5,0,35.55555555555556,17.77777777777778,0.0
CHOP_2015_2016,MACD_FAIL,132,82,1.6097560975609757,1.0,11,11,4,1,38.63636363636363,22.727272727272727,8.333333333333334
BULL_2017,ALL_BASE,172,105,1.638095238095238,1.0,5,16,1,0,31.976744186046513,2.9069767441860463,0.0
BULL_2017,MACD_PASS,101,72,1.4027777777777777,1.0,4,7,0,0,21.782178217821784,0.0,0.0
BULL_2017,MACD_FAIL,71,53,1.3396226415094339,1.0,3,4,0,0,16.901408450704224,0.0,0.0
COVID_2020,ALL_BASE,129,45,2.8666666666666667,2.0,20,13,4,3,67.44186046511628,44.96124031007752,41.08527131782946
COVID_2020,MACD_PASS,69,34,2.0294117647058822,1.0,13,5,2,1,44.927536231884055,31.884057971014492,18.840579710144926
COVID_2020,MACD_FAIL,60,23,2.608695652173913,1.0,18,5,4,1,65.0,58.333333333333336,30.0
BEAR_2022,ALL_BASE,58,21,2.761904761904762,1.0,12,7,4,1,70.6896551724138,50.0,20.689655172413794
BEAR_2022,MACD_PASS,33,17,1.9411764705882353,1.0,5,5,1,0,57.57575757575758,15.151515151515152,0.0
BEAR_2022,MACD_FAIL,25,10,2.5,1.0,9,3,2,0,68.0,56.0,0.0
VALIDATION_2018,ALL_BASE,167,78,2.141025641025641,1.0,12,19,7,2,54.49101796407186,30.538922155688624,13.173652694610778
VALIDATION_2018,MACD_PASS,96,56,1.7142857142857142,1.0,10,9,2,1,38.541666666666664,15.625,10.416666666666666
VALIDATION_2018,MACD_FAIL,71,36,1.9722222222222223,1.0,11,6,4,1,47.88732394366197,38.028169014084504,15.492957746478874
VALIDATION_2019,ALL_BASE,136,67,2.029850746268657,1.0,7,20,3,0,56.61764705882353,14.705882352941176,0.0
VALIDATION_2019,MACD_PASS,67,43,1.558139534883721,1.0,4,6,0,0,31.34328358208955,0.0,0.0
VALIDATION_2019,MACD_FAIL,69,40,1.725,1.0,6,9,1,0,44.927536231884055,8.695652173913043,0.0
VALIDATION_2021,ALL_BASE,230,98,2.3469387755102042,2.0,13,31,9,1,60.43478260869565,29.130434782608695,5.6521739130434785
VALIDATION_2021,MACD_PASS,150,71,2.112676056338028,1.0,12,15,7,1,52.0,33.333333333333336,8.0
VALIDATION_2021,MACD_FAIL,80,57,1.4035087719298245,1.0,4,4,0,0,16.25,0.0,0.0
VALIDATION_2023_2024,ALL_BASE,468,209,2.2392344497607657,2.0,15,61,21,3,58.97435897435897,30.34188034188034,7.905982905982906
VALIDATION_2023_2024,MACD_PASS,308,152,2.026315789473684,1.0,11,33,12,1,48.701298701298704,25.649350649350648,3.5714285714285716
VALIDATION_2023_2024,MACD_FAIL,160,109,1.4678899082568808,1.0,6,7,4,0,20.0,13.125,0.0
