window,sample,window_family,signal_date,signals,stocks,macd_pass_share_pct,stop_rate_pct,hit3_pct,hit5_pct,avg_ret20_pct,regime
COVID_2020,DISCOVERY,CRISIS,2020-03-03,20,20,65.0,100.0,35.0,5.0,-20.562794628318095,YELLOW
COVID_2020,DISCOVERY,CRISIS,2020-03-02,19,19,5.263157894736842,100.0,57.89473684210527,15.789473684210526,-14.718691426253416,GREEN
BULL_2013_2014,DISCOVERY,BULL,2013-06-07,18,18,38.88888888888889,88.88888888888889,5.555555555555555,0.0,0.8440187575224188,GREEN
BULL_2013_2014,DISCOVERY,BULL,2013-10-10,18,18,27.77777777777778,5.555555555555555,88.88888888888889,55.55555555555556,4.333210382854668,GREEN
VALIDATION_2023_2024,VALIDATION,BULL,2024-05-31,15,15,60.0,40.0,46.666666666666664,33.33333333333333,-0.6351676629362174,GREEN
COVID_2020,DISCOVERY,CRISIS,2020-09-28,14,14,64.28571428571429,28.57142857142857,92.85714285714286,78.57142857142857,1.647852142843957,GREEN
VALIDATION_2021,VALIDATION,BULL,2021-02-03,13,13,92.3076923076923,7.6923076923076925,92.3076923076923,76.92307692307693,10.497680836885243,GREEN
VALIDATION_2018,VALIDATION,CORRECTION_BEAR,2018-02-07,12,12,8.333333333333332,33.33333333333333,66.66666666666666,33.33333333333333,3.3296475318457097,GREEN
BEAR_2022,DISCOVERY,CORRECTION_BEAR,2022-02-25,12,12,25.0,25.0,66.66666666666666,50.0,3.560814124556693,YELLOW
CHOP_2015_2016,DISCOVERY,CORRECTION_BEAR,2015-03-13,11,11,81.81818181818183,54.54545454545454,27.27272727272727,9.090909090909092,0.5737044940699012,GREEN
CHOP_2015_2016,DISCOVERY,CORRECTION_BEAR,2015-08-26,11,11,0.0,9.090909090909092,54.54545454545454,36.36363636363637,-0.4917214994688951,YELLOW
VALIDATION_2023_2024,VALIDATION,BULL,2023-06-02,11,11,100.0,9.090909090909092,90.9090909090909,72.72727272727273,4.819780132368172,GREEN
VALIDATION_2023_2024,VALIDATION,BULL,2024-12-24,11,11,81.81818181818183,81.81818181818183,18.181818181818183,18.181818181818183,1.9196849120082833,GREEN
VALIDATION_2018,VALIDATION,CORRECTION_BEAR,2018-02-13,10,10,100.0,10.0,80.0,60.0,4.405859021278967,GREEN
