window_set,metric,n_windows,equal_weight_mean,bootstrap_low95,bootstrap_high95
ALL_WINDOWS,delta_stop_pp,10,-2.4706885476374345,-11.624652399649184,7.838000933808769
ALL_WINDOWS,delta_hit3_pp,10,-1.2988009684674324,-10.235220197438233,7.0376056833422895
ALL_WINDOWS,delta_hit5_pp,10,-2.685476049520407,-11.50604563282229,5.843247443187731
ALL_WINDOWS,delta_mfe_pp,10,-0.17092174981369687,-1.149491079130302,0.726760920407967
ALL_WINDOWS,delta_mae_pp,10,0.11309314335469675,-0.38601021286884607,0.7684501774445998
ALL_WINDOWS,delta_ret20_pp,10,0.28229659312320166,-0.8083944437109846,1.3459056776215195
DISCOVERY_WINDOWS,delta_stop_pp,6,5.069103757082958,-6.29375786195049,17.066199244318337
DISCOVERY_WINDOWS,delta_hit3_pp,6,-7.398575306794506,-18.252199071211674,3.4550484576226608
DISCOVERY_WINDOWS,delta_hit5_pp,6,-7.930045592381223,-20.242933706131335,3.9102898917338464
DISCOVERY_WINDOWS,delta_mfe_pp,6,-0.7839280910910625,-1.9981651364479944,0.4207598034545119
DISCOVERY_WINDOWS,delta_mae_pp,6,0.08598981342000485,-0.6827846665556566,1.1431240227777506
DISCOVERY_WINDOWS,delta_ret20_pp,6,-0.20826309962162226,-1.8351167496172849,1.527455031506901
VALIDATION_WINDOWS,delta_stop_pp,4,-13.780377004718023,-19.894224529526284,-4.220380663031541
VALIDATION_WINDOWS,delta_hit3_pp,4,7.850860539023179,-0.09500182915675381,15.796722907203112
VALIDATION_WINDOWS,delta_hit5_pp,4,5.181378264770817,-0.037756620297164645,14.009334415584414
VALIDATION_WINDOWS,delta_mfe_pp,4,0.7485877621023517,-0.07114542629799558,1.568320950502699
VALIDATION_WINDOWS,delta_mae_pp,4,0.1537481382567346,-0.18219701708671054,0.39636874767439134
VALIDATION_WINDOWS,delta_ret20_pp,4,1.0181361322404376,0.2577276240131606,1.7971534804711125
