signal_type,ticker,n,stocks,stop_rate_pct,hit2_before_stop_pct,hit3_before_stop_pct,hit5_before_stop_pct,avg_mfe_before_stop_pct,avg_mae_before_stop_pct,avg_ret_5d_pct,avg_ret_10d_pct,avg_ret_15d_pct,avg_ret_20d_pct,median_swing_distance_pct
STOCH_ONLY_CONTROL,ABT,1,1,0.0,100.0,100.0,100.0,11.192084942084946,-1.6505791505791456,7.326254826254841,1.3175675675675569,1.9015444015444194,0.419884169884166,3.228377839776808
STOCH_ONLY_CONTROL,ADM,4,1,0.0,100.0,75.0,50.0,8.728261783963248,-3.8156227489878543,0.5247605747752154,1.4392266560419031,4.991711515296226,4.948231045977924,5.094363237416721
STOCH_ONLY_CONTROL,ADP,5,1,80.0,60.0,40.0,0.0,2.683897613987676,-3.593869986697056,0.6156385034022471,-1.2072821358136876,-1.0304592412716551,-2.647538330522352,2.2618010518504095
STOCH_ONLY_CONTROL,AVY,2,1,0.0,100.0,100.0,100.0,8.675017884473057,-1.4839072600405734,1.6783402413181936,3.4127153678969346,4.343201361519167,4.843910303308629,3.274638188846102
STOCH_ONLY_CONTROL,BAC,4,1,75.0,75.0,75.0,50.0,6.74738920134047,-6.097157746585852,1.462736638860726,1.240342087403734,0.9376612343961697,-0.34618494581204695,5.771282748272865
STOCH_ONLY_CONTROL,BBT,2,1,50.0,100.0,100.0,100.0,8.743968496854615,-4.217873919950882,3.472392505389088,1.7635323651522428,-0.23919697031272724,1.2622201535832933,4.0346345135970685
STOCH_ONLY_CONTROL,BCR,2,1,50.0,50.0,50.0,0.0,2.5806095198106616,-2.8186961983763914,-1.9234538464044548,0.003838144443740754,-0.267949029501241,-0.25127351165752376,3.5499796095418534
STOCH_ONLY_CONTROL,BDX,5,1,40.0,80.0,80.0,60.0,6.594441280908493,-2.6412729635023835,-0.17385480984380752,2.0179629535273884,2.08736391875622,4.348586045980143,2.4011420905072134
STOCH_ONLY_CONTROL,CB,4,1,50.0,75.0,75.0,50.0,4.281057155215135,-3.5272255734332707,0.7868884677656118,-1.4923446117523553,-0.2725332354955867,-1.2256548634913962,4.780307259176553
STOCH_ONLY_CONTROL,CINF,1,1,0.0,100.0,100.0,0.0,3.5944746924783333,-2.374470659407135,0.4688445251058715,1.7090139140955918,-0.8923169993950375,-0.5444646098003436,2.4322230828814906
STOCH_ONLY_CONTROL,CLX,2,1,50.0,50.0,50.0,0.0,3.0839402673759286,-2.5892571630292736,1.4054295474419942,-0.2709502242571882,1.0117715762552493,0.034538032666581175,1.9377320862411285
STOCH_ONLY_CONTROL,CMA,2,1,50.0,100.0,100.0,0.0,4.034823832533485,-2.948987392786051,1.6468750334448834,6.088614411747018,5.903042286586363,6.760132360199378,3.260617501251195
STOCH_ONLY_CONTROL,CTL,4,1,50.0,100.0,25.0,25.0,5.061917248141556,-3.2590248768572305,0.5448678383166399,-0.79942922685316,0.22694660576287318,1.1314404542788594,2.6772476142475687
STOCH_ONLY_CONTROL,DOV,2,1,50.0,50.0,50.0,50.0,5.074600842732281,-4.637290884825885,-1.2629957888494858,2.1131640496560355,1.9318368343460013,0.9454213313236537,4.158385517618413
STOCH_ONLY_CONTROL,EMR,5,1,80.0,60.0,60.0,20.0,5.879971335313785,-4.347408531798016,-0.6373613752962506,-1.0225421820509781,0.5537243558525806,4.247998906007618,4.800902671616791
STOCH_ONLY_CONTROL,FHN,3,1,66.66666666666666,100.0,66.66666666666666,66.66666666666666,8.653448522590933,-5.717801793006793,0.482033217803927,1.251719638868232,-3.6945335540195448,-0.21821347824146167,4.613599857219364
STOCH_ONLY_CONTROL,FITB,4,1,50.0,75.0,75.0,75.0,12.424044013285734,-5.712661043296094,0.9350674698245243,3.3853739233106945,6.18524910699024,2.177407702329137,7.000363850796088
STOCH_ONLY_CONTROL,GE,4,1,50.0,75.0,50.0,50.0,7.275266194116581,-3.819020807361512,0.7027130836639861,4.104664715575712,2.864044444178007,2.037995613317503,7.044717447294624
STOCH_ONLY_CONTROL,GWW,6,1,33.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,5.299533050003102,-2.6441492322649953,1.9415550561868649,0.8640345418872412,4.188991544155382,4.3875303978987015,3.7646085529565387
STOCH_ONLY_CONTROL,JCI,2,1,0.0,100.0,100.0,100.0,11.232843197294638,-2.6752687703776035,0.44851908270436835,4.5342718711148144,7.604459279272902,7.666936427477744,3.5396032684877454
STOCH_ONLY_CONTROL,JNJ,4,1,25.0,75.0,75.0,50.0,4.888788255409715,-1.7063576584109452,0.7797136474323424,0.5687300423547981,1.6477912555612317,2.498073567430603,1.6844436765259374
STOCH_ONLY_CONTROL,KMB,2,1,50.0,0.0,0.0,0.0,0.8398262664530365,-2.5602209869625137,-0.8463848965946208,-0.30648408932311133,-0.5910078137676411,0.15958156939640533,3.020069876080045
STOCH_ONLY_CONTROL,KO,6,1,16.666666666666664,83.33333333333334,83.33333333333334,83.33333333333334,6.592326520260756,-1.1987130208955514,1.750553122390419,1.3073494557940808,3.434266530347711,3.210316651101523,2.0169195645837745
STOCH_ONLY_CONTROL,LEG,3,1,0.0,100.0,100.0,66.66666666666666,13.861697492611881,-1.3277631805329075,5.778198413624658,6.104038893662637,9.236763157256581,8.458950656095988,2.633242047609019
STOCH_ONLY_CONTROL,LLY,3,1,66.66666666666666,66.66666666666666,33.33333333333333,33.33333333333333,2.949987077713974,-3.78543423255685,-1.6032320977499033,-1.0405367299846129,-3.654347360117923,0.11206485674172632,3.915255487010594
STOCH_ONLY_CONTROL,LOW,4,1,25.0,100.0,100.0,100.0,9.026999821597581,-3.0523566438370175,1.4723304160048052,2.5990776666790616,2.61455980358013,4.06782282907047,7.424183970742327
STOCH_ONLY_CONTROL,MCD,4,1,25.0,75.0,50.0,50.0,4.979577412604064,-2.801771784082163,-0.5920575080738344,1.6844703142415818,1.5217221134354082,0.6265248889330971,3.037840453505669
STOCH_ONLY_CONTROL,MMM,5,1,20.0,80.0,80.0,80.0,8.289904254472962,-1.5945158536095705,1.8865718400295672,2.42754455849215,4.119591079297438,5.680473303123872,2.6773387679968508
STOCH_ONLY_CONTROL,MO,2,1,50.0,50.0,50.0,0.0,2.4111526597125787,-1.7549916827901413,-1.2461268496038458,-1.0139822093471806,0.032884537237998224,1.822780021631809,2.639050449949376
STOCH_ONLY_CONTROL,MTB,4,1,25.0,100.0,100.0,50.0,9.788448216869668,-3.5934241674501073,2.3114729004672596,2.9842452882644532,2.637164402888334,5.80297094142101,3.977622763047195
STOCH_ONLY_CONTROL,NUE,3,1,66.66666666666666,100.0,100.0,33.33333333333333,6.347636491098144,-4.498375746397454,-1.5268896163335672,-2.2387137393183765,-2.937893266141522,-3.377280699356152,3.1950593609881395
STOCH_ONLY_CONTROL,PEP,3,1,0.0,100.0,100.0,33.33333333333333,4.367416890892232,-1.6954025264066013,-0.10574353393223805,0.8826723843746017,1.798839400421152,1.9347765505582373,3.271150241903853
STOCH_ONLY_CONTROL,PFE,2,1,0.0,100.0,100.0,100.0,8.281007544144735,-0.5116481853148946,4.693272256756009,4.431908435848076,5.011076844821504,4.361141419783021,2.885181717505292
STOCH_ONLY_CONTROL,PGR,3,1,66.66666666666666,33.33333333333333,33.33333333333333,0.0,1.734563694493844,-4.614236724150115,-2.8079524233720288,-0.8227732390929479,-0.19688579449637458,0.7052398421413993,3.8074712643678232
STOCH_ONLY_CONTROL,PPG,6,1,33.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,7.828984000735257,-3.85900303382198,-1.3630242412265574,-1.4079841386299137,4.073650794249343,4.406607821301461,4.369517361447572
STOCH_ONLY_CONTROL,RF,2,1,0.0,100.0,100.0,100.0,27.3345888847094,-3.3362010270436615,6.512235397739564,15.174670434456683,17.71953392789668,14.599762260926353,5.731111120262645
STOCH_ONLY_CONTROL,SHW,5,1,40.0,80.0,80.0,40.0,3.970945302572808,-4.070751671438785,0.1653033986911967,-0.07388519900987767,1.9388008639728915,1.4658863698273539,3.3886917634214475
STOCH_ONLY_CONTROL,SLM,3,1,33.33333333333333,100.0,100.0,66.66666666666666,16.74843403634274,-4.618534080067523,2.456899986010907,8.471742696096088,5.578125285746105,4.263555005103336,7.115648331555691
STOCH_ONLY_CONTROL,SNV,1,1,100.0,0.0,0.0,0.0,1.552795031055898,-13.92586019915214,-31.262939958592128,-34.358671004633734,-40.25929212264616,-47.98876072167998,0.0
STOCH_ONLY_CONTROL,STT,2,1,50.0,50.0,50.0,50.0,3.8101671195829745,-8.86110282341533,-0.09945256688638215,-6.683618811417924,-3.79951841849237,-9.225900602154535,6.6556263053480285
