window,ticker,loaded,source,first,last,rows
GFC_2007_2009,FHN,True,legacy,1990-03-26,2017-11-10,6961.0
GFC_2007_2009,BAC,True,legacy,1986-05-29,2017-11-10,7929.0
GFC_2007_2009,ED,True,legacy,1970-01-02,2017-11-10,12075.0
GFC_2007_2009,USB,True,legacy,1987-11-05,2017-11-10,7561.0
GFC_2007_2009,PFE,True,legacy,1982-01-04,2017-11-10,9042.0
GFC_2007_2009,BBT,True,legacy,1990-03-26,2017-11-10,6961.0
GFC_2007_2009,CMA,True,legacy,1990-03-26,2017-11-10,6963.0
GFC_2007_2009,RF,True,legacy,2001-05-14,2017-11-10,4147.0
GFC_2007_2009,FITB,True,legacy,1990-03-26,2017-11-10,6962.0
GFC_2007_2009,MO,True,legacy,1970-01-02,2017-11-10,12074.0
GFC_2007_2009,KEY,True,legacy,1987-11-05,2017-11-10,7563.0
GFC_2007_2009,CINF,True,legacy,1990-03-26,2017-11-10,6962.0
GFC_2007_2009,LEG,True,legacy,1987-11-05,2017-11-10,7563.0
GFC_2007_2009,GCI,True,legacy,2015-06-23,2017-11-10,604.0
GFC_2007_2009,LLY,True,legacy,1982-01-04,2017-11-10,9044.0
GFC_2007_2009,KMB,True,legacy,1984-12-17,2017-11-10,8295.0
GFC_2007_2009,SNV,True,legacy,1990-01-12,2017-11-10,7012.0
GFC_2007_2009,GE,True,legacy,1962-01-02,2017-11-10,14058.0
GFC_2007_2009,JNJ,True,legacy,1970-01-02,2017-11-10,12074.0
GFC_2007_2009,BUD,True,legacy,2009-07-01,2017-11-10,2107.0
GFC_2007_2009,PPG,True,legacy,1983-04-06,2017-11-10,8726.0
GFC_2007_2009,CLX,True,legacy,1983-03-21,2017-11-10,8736.0
GFC_2007_2009,MTB,True,legacy,1991-10-04,2017-11-10,6577.0
GFC_2007_2009,KO,True,legacy,1970-01-02,2017-11-10,12075.0
GFC_2007_2009,ROH,False,missing,,,
GFC_2007_2009,ABT,True,legacy,1983-04-06,2017-11-10,8726.0
GFC_2007_2009,AVY,True,legacy,1984-09-07,2017-11-10,8365.0
