window,signal_type,signal_days,max_same_day_signals,days_ge_3_signals,days_ge_5_signals,days_ge_10_signals,share_signals_on_ge5_days_pct
BEAR_2022,V0.1,18,8,5,1,0,21.05263157894737
BEAR_2022,V0.2B_NO_MACD,21,12,7,4,1,50.0
BULL_2013_2014,V0.1,132,11,39,19,1,39.49044585987261
BULL_2013_2014,V0.2B_NO_MACD,184,18,62,24,2,37.8076062639821
BULL_2017,V0.1,76,4,8,0,0,0.0
BULL_2017,V0.2B_NO_MACD,105,5,16,1,0,2.9069767441860463
CHOP_2015_2016,V0.1,118,9,16,7,0,22.388059701492537
CHOP_2015_2016,V0.2B_NO_MACD,147,11,39,13,2,29.166666666666668
COVID_2020,V0.1,44,14,9,5,2,44.791666666666664
COVID_2020,V0.2B_NO_MACD,45,20,13,4,3,44.96124031007752
GFC_2007_2009,V0.1,61,7,16,4,0,20.535714285714285
GFC_2007_2009,V0.2B_NO_MACD,81,8,20,8,0,29.375
